symbol,feature_date,close,volume,return_1d,return_5d,fwd_return_1d,fwd_return_5d,fwd_return_10d,news_count,avg_match_score,distinct_sources,distinct_domains,llm_news_count,positive_news_count,neutral_news_count,negative_news_count,avg_sentiment_score,avg_relevance_score,avg_materiality_score,avg_confidence
AAPL,2026-03-02,264.72,41827946,0.002044060867590458,-0.005485010143511881,-0.0038909035962527705,-0.01824569356301009,,,,,,,,,,,,,
BABA,2026-03-02,142.56,9428263,-0.010755672749982681,-0.0668935724571279,-0.04889169472502808,-0.06958473625140305,,,,,,,,,,,,,
MSFT,2026-03-02,398.55,35474908,0.01479350206243324,0.036621843056675374,0.013147660268473249,0.027098231087692826,,,,,,,,,,,,,
AAPL,2026-03-03,263.69,38568921,-0.0038909035962527705,-0.031050194752700766,-0.004702491562061595,-0.009253289847927504,,,,,,,,,,,,,
BABA,2026-03-03,135.59,18476768,-0.04889169472502808,-0.11442753575860498,-0.017110406372151332,0.01445534331440368,,,,,,,,,,,,,
MSFT,2026-03-03,403.79,38199209,0.013147660268473249,0.03802056555269928,0.002996607147279562,0.007702023328957974,,,,,,,,,,,,,
AAPL,2026-03-04,262.45,39803119,-0.004702491562061595,-0.0429566422346207,-0.008382549056963229,-0.006248818599375983,,,,,,,,,,,,,
BABA,2026-03-04,133.27,14293901,-0.017110406372151332,-0.12483582873653787,-0.021910407443535784,0.022660713484901285,,,,,,,,,,,,,
MSFT,2026-03-04,405.0,35807990,0.002996607147279562,0.010983524712930626,0.014024691358024644,-0.0002962842399691912,,,,,,,,,,,,,
AAPL,2026-03-05,260.25,49658626,-0.008382549056963229,-0.04652866825425894,-0.010720461095100942,-0.017252662797940688,,,,,,,,,,,,,
BABA,2026-03-05,130.35,18612932,-0.021910407443535784,-0.11955420466058775,0.0033755274261604296,0.029535841566875387,,,,,,,,,,,,,
MSFT,2026-03-05,410.68,39001315,0.014024691358024644,0.022304092402668507,-0.0049917210480179275,-0.021476611104600973,,,,,,,,,,,,,
AAPL,2026-03-06,257.46,41120042,-0.010720461095100942,-0.025437201907790197,0.009438359356793269,-0.028509301960741418,,,,,,,,,,,,,
BABA,2026-03-06,130.79,10956991,0.0033755274261604296,-0.09242939421275431,0.014144812294517806,0.03379468395035712,,,,,,,,,,,,,
MSFT,2026-03-06,408.63,31123859,-0.0049917210480179275,0.040459336965931625,0.0017619851699581801,-0.03200942712730648,,,,,,,,,,,,,
AAPL,2026-03-09,259.89,38218533,0.009438359356793269,-0.01824569356301009,0.005232983185193829,,,,,,,,,,,,,,
BABA,2026-03-09,132.64,10072449,0.014144812294517806,-0.06958473625140305,0.03701749095295548,,,,,,,,,,,,,,
MSFT,2026-03-09,409.35,30131854,0.0017619851699581801,0.027098231087692826,-0.005985098326615423,,,,,,,,,,,,,,
AAPL,2026-03-10,261.25,99999999,0.005232983185193829,-0.009253289847927504,-0.0016842198714114298,,,,,,,,,,,,,,
BABA,2026-03-10,137.55,77777777,0.03701749095295548,0.01445534331440368,-0.009160354153887273,,,,,,,,,,,,,,
MSFT,2026-03-10,406.9,88888888,-0.005985098326615423,0.007702023328957974,-0.004964352708742847,,,,,,,,,,,,,,
AAPL,2026-03-11,260.80999755859375,26218900,-0.0016842198714114298,-0.006248818599375983,-0.019362766377938656,,,,,,,,,,,,,,
BABA,2026-03-11,136.2899932861328,6685100,-0.009160354153887273,0.022660713484901285,-0.01533492142378201,,,,,,,,,,,,,,
MSFT,2026-03-11,404.8800048828125,25512100,-0.004964352708742847,-0.0002962842399691912,-0.007459048347235875,,,,,,,,,,,,,,
AAPL,2026-03-12,255.75999450683594,40794000,-0.019362766377938656,-0.017252662797940688,-0.022051921765652405,,,,,,,,,,,,,,
BABA,2026-03-12,134.1999969482422,7591800,-0.01533492142378201,0.029535841566875387,0.007526153417235504,,,,,,,,,,,,,,
MSFT,2026-03-12,401.8599853515625,27263900,-0.007459048347235875,-0.021476611104600973,-0.015701980263283843,,,,,,,,,,,,,,
